beta pos_distance neg_distance
0.000000 0.433821 0.696294
0.010000 0.433831 0.694367
0.020000 0.433949 0.692477
0.030000 0.434174 0.690625
0.040000 0.434506 0.688811
0.050000 0.434945 0.687035
0.060000 0.435491 0.685298
0.070000 0.436142 0.683600
0.080000 0.436897 0.681940
0.090000 0.437757 0.680320
0.100000 0.438719 0.678740
0.110000 0.439783 0.677200
0.120000 0.440947 0.675699
0.130000 0.442211 0.674240
0.140000 0.443572 0.672820
0.150000 0.445030 0.671442
0.160000 0.446584 0.670105
0.170000 0.448230 0.668808
0.180000 0.449969 0.667554
0.190000 0.451798 0.666341
0.200000 0.453716 0.665170
0.210000 0.455721 0.664041
0.220000 0.457812 0.662954
0.230000 0.459988 0.661909
0.240000 0.462246 0.660907
0.250000 0.464585 0.659948
0.260000 0.467004 0.659032
0.270000 0.469500 0.658158
0.280000 0.472074 0.657328
0.290000 0.474722 0.656541
0.300000 0.477443 0.655797
0.310000 0.480237 0.655097
0.320000 0.483102 0.654440
0.330000 0.486035 0.653826
0.340000 0.489037 0.653257
0.350000 0.492105 0.652731
0.360000 0.495238 0.652249
0.370000 0.498435 0.651811
0.380000 0.501695 0.651417
0.390000 0.505016 0.651067
0.400000 0.508397 0.650760
0.410000 0.511837 0.650498
0.420000 0.515335 0.650280
0.430000 0.518889 0.650105
0.440000 0.522499 0.649975
0.450000 0.526163 0.649889
0.460000 0.529880 0.649847
0.470000 0.533650 0.649848
0.480000 0.537470 0.649894
0.490000 0.541341 0.649983
0.500000 0.545261 0.650116
0.510000 0.549229 0.650293
0.520000 0.553244 0.650513
0.530000 0.557305 0.650778
0.540000 0.561412 0.651085
0.550000 0.565563 0.651436
0.560000 0.569757 0.651830
0.570000 0.573994 0.652268
0.580000 0.578273 0.652748
0.590000 0.582593 0.653272
0.600000 0.586954 0.653838
0.610000 0.591353 0.654447
0.620000 0.595791 0.655098
0.630000 0.600267 0.655792
0.640000 0.604780 0.656528
0.650000 0.609330 0.657306
0.660000 0.613915 0.658126
0.670000 0.618535 0.658987
0.680000 0.623190 0.659891
0.690000 0.627878 0.660835
0.700000 0.632599 0.661820
0.710000 0.637352 0.662847
0.720000 0.642137 0.663914
0.730000 0.646953 0.665022
0.740000 0.651800 0.666169
0.750000 0.656676 0.667357
0.760000 0.661582 0.668585
0.770000 0.666516 0.669852
0.780000 0.671479 0.671159
0.790000 0.676469 0.672505
0.800000 0.681486 0.673889
0.810000 0.686530 0.675312
0.820000 0.691600 0.676774
0.830000 0.696696 0.678273
0.840000 0.701817 0.679811
0.850000 0.706962 0.681386
0.860000 0.712131 0.682998
0.870000 0.717325 0.684647
0.880000 0.722541 0.686333
0.890000 0.727780 0.688055
0.900000 0.733042 0.689814
0.910000 0.738325 0.691608
0.920000 0.743631 0.693438
0.930000 0.748957 0.695304
0.940000 0.754304 0.697204
0.950000 0.759671 0.699139
0.960000 0.765059 0.701109
0.970000 0.770466 0.703112
0.980000 0.775892 0.705150
0.990000 0.781337 0.707221
1.000000 0.786801 0.709325
