beta k value
0.0000 1 0.505553
0.1000 1 0.517466
0.2000 1 0.527365
0.3000 1 0.531023
0.4000 1 0.526669
0.5000 1 0.521633
0.6000 1 0.510508
0.7000 1 0.505295
0.8000 1 0.499556
0.9000 1 0.480134
1.0000 1 0.461163
0.0000 2 0.569578
0.1000 2 0.560901
0.2000 2 0.567544
0.3000 2 0.564878
0.4000 2 0.569168
0.5000 2 0.553513
0.6000 2 0.535662
0.7000 2 0.515830
0.8000 2 0.501429
0.9000 2 0.488635
1.0000 2 0.458962
0.0000 3 0.596720
0.1000 3 0.587316
0.2000 3 0.593886
0.3000 3 0.594692
0.4000 3 0.571128
0.5000 3 0.555985
0.6000 3 0.543704
0.7000 3 0.523701
0.8000 3 0.505271
0.9000 3 0.489297
1.0000 3 0.461795
0.0000 4 0.615670
0.1000 4 0.610542
0.2000 4 0.605822
0.3000 4 0.598881
0.4000 4 0.586445
0.5000 4 0.562423
0.6000 4 0.545635
0.7000 4 0.528486
0.8000 4 0.504363
0.9000 4 0.485186
1.0000 4 0.462071
0.0000 5 0.631182
0.1000 5 0.628354
0.2000 5 0.616565
0.3000 5 0.606672
0.4000 5 0.591954
0.5000 5 0.580310
0.6000 5 0.563005
0.7000 5 0.539683
0.8000 5 0.508993
0.9000 5 0.488395
1.0000 5 0.464409
0.0000 6 0.640944
0.1000 6 0.634045
0.2000 6 0.621571
0.3000 6 0.621424
0.4000 6 0.605359
0.5000 6 0.585089
0.6000 6 0.555167
0.7000 6 0.537189
0.8000 6 0.510425
0.9000 6 0.484462
1.0000 6 0.468431
0.0000 7 0.648829
0.1000 7 0.644419
0.2000 7 0.636441
0.3000 7 0.622146
0.4000 7 0.604485
0.5000 7 0.593242
0.6000 7 0.565051
0.7000 7 0.538955
0.8000 7 0.511935
0.9000 7 0.488756
1.0000 7 0.458830
