beta k value
0.0000 1 0.693926
0.1000 1 0.703120
0.2000 1 0.709180
0.3000 1 0.711562
0.4000 1 0.709865
0.5000 1 0.703906
0.6000 1 0.693754
0.7000 1 0.679737
0.8000 1 0.662401
0.9000 1 0.642439
1.0000 1 0.620604
0.0000 2 0.758986
0.1000 2 0.762122
0.2000 2 0.761249
0.3000 2 0.756081
0.4000 2 0.746548
0.5000 2 0.732821
0.6000 2 0.715301
0.7000 2 0.694584
0.8000 2 0.671389
0.9000 2 0.646480
1.0000 2 0.620604
0.0000 3 0.791860
0.1000 3 0.791914
0.2000 3 0.787528
0.3000 3 0.778555
0.4000 3 0.765091
0.5000 3 0.747477
0.6000 3 0.726271
0.7000 3 0.702188
0.8000 3 0.676025
0.9000 3 0.648582
1.0000 3 0.620604
0.0000 4 0.812479
0.1000 4 0.810600
0.2000 4 0.804006
0.3000 4 0.792642
0.4000 4 0.776709
0.5000 4 0.756656
0.6000 4 0.733139
0.7000 4 0.706947
0.8000 4 0.678926
0.9000 4 0.649898
1.0000 4 0.620604
0.0000 5 0.827048
0.1000 5 0.823820
0.2000 5 0.815674
0.3000 5 0.802621
0.4000 5 0.784940
0.5000 5 0.763160
0.6000 5 0.738004
0.7000 5 0.710318
0.8000 5 0.680979
0.9000 5 0.650827
1.0000 5 0.620604
0.0000 6 0.837898
0.1000 6 0.833668
0.2000 6 0.824364
0.3000 6 0.810047
0.4000 6 0.791057
0.5000 6 0.767983
0.6000 6 0.741604
0.7000 6 0.712804
0.8000 6 0.682490
0.9000 6 0.651509
1.0000 6 0.620604
0.0000 7 0.846341
0.1000 7 0.841355
0.2000 7 0.831163
0.3000 7 0.815869
0.4000 7 0.795860
0.5000 7 0.771775
0.6000 7 0.744435
0.7000 7 0.714761
0.8000 7 0.683677
0.9000 7 0.652045
1.0000 7 0.620604
