beta k value
0.0000 1 0.136524
0.1000 1 0.142843
0.2000 1 0.147236
0.3000 1 0.148910
0.4000 1 0.147815
0.5000 1 0.144046
0.6000 1 0.137825
0.7000 1 0.130020
0.8000 1 0.120992
0.9000 1 0.111567
1.0000 1 0.102227
0.0000 2 0.186659
0.1000 2 0.189178
0.2000 2 0.188070
0.3000 2 0.183428
0.4000 2 0.175607
0.5000 2 0.164935
0.6000 2 0.152520
0.7000 2 0.139431
0.8000 2 0.126376
0.9000 2 0.113867
1.0000 2 0.102227
0.0000 3 0.213894
0.1000 3 0.213838
0.2000 3 0.209348
0.3000 3 0.200748
0.4000 3 0.188672
0.5000 3 0.174175
0.6000 3 0.158682
0.7000 3 0.143132
0.8000 3 0.128303
0.9000 3 0.114627
1.0000 3 0.102227
0.0000 4 0.228403
0.1000 4 0.227010
0.2000 4 0.220362
0.3000 4 0.209146
0.4000 4 0.194587
0.5000 4 0.178090
0.6000 4 0.161059
0.7000 4 0.144524
0.8000 4 0.129013
0.9000 4 0.114879
1.0000 4 0.102227
0.0000 5 0.239094
0.1000 5 0.236379
0.2000 5 0.228058
0.3000 5 0.215030
0.4000 5 0.198690
0.5000 5 0.180653
0.6000 5 0.162598
0.7000 5 0.145314
0.8000 5 0.129352
0.9000 5 0.114977
1.0000 5 0.102227
0.0000 6 0.246541
0.1000 6 0.242909
0.2000 6 0.233179
0.3000 6 0.218785
0.4000 6 0.201084
0.5000 6 0.182015
0.6000 6 0.163256
0.7000 6 0.145591
0.8000 6 0.129394
0.9000 6 0.114983
1.0000 6 0.102227
0.0000 7 0.251587
0.1000 7 0.247274
0.2000 7 0.236512
0.3000 7 0.220948
0.4000 7 0.202409
0.5000 7 0.182666
0.6000 7 0.163405
0.7000 7 0.145557
0.8000 7 0.129282
0.9000 7 0.114905
1.0000 7 0.102227
