distance_threshold score
1.298947 0.529592
2.640424 0.678661
1.826872 0.618185
2.849178 0.670664
0.423722 0.375969
2.564269 0.670166
1.431710 0.554884
2.449067 0.673490
1.990382 0.644760
3.423641 0.668081
2.598196 0.666187
2.282672 0.672920
3.400219 0.671478
3.411968 0.668081
3.811885 0.649896
1.904534 0.626473
0.112512 0.361937
2.283497 0.672920
3.656843 0.662989
2.172618 0.671898
1.236136 0.515652
3.778511 0.649896
2.817776 0.678536
2.644613 0.678661
2.645115 0.678661
0.844312 0.435188
0.174097 0.363339
0.825072 0.431455
2.878590 0.670664
2.771343 0.682731
2.858806 0.670664
2.858258 0.670664
2.909285 0.667141
2.882602 0.667141
2.828339 0.670664
2.867732 0.670664
2.806385 0.680768
2.996439 0.660403
2.746347 0.682731
2.738359 0.682731
2.460386 0.672092
2.785822 0.682731
2.219609 0.675199
2.045862 0.647777
2.063169 0.647777
2.143217 0.657971
1.949645 0.634187
1.916005 0.628446
2.278407 0.672920
3.044355 0.656947
3.060167 0.656947
3.163370 0.651529
3.178370 0.676432
3.151523 0.651529
3.133993 0.656938
3.280340 0.659491
2.874126 0.670664
2.662676 0.688614
2.645043 0.678661
2.637330 0.680616
2.586661 0.666187
2.553294 0.673405
2.596488 0.666187
2.550823 0.673405
2.558240 0.671590
2.508101 0.674891
2.509087 0.674891
2.458636 0.673490
2.604796 0.678791
2.529981 0.673405
2.572170 0.668531
2.496285 0.671894
2.639761 0.680616
2.665406 0.688614
3.336699 0.657449
3.598268 0.668081
3.600397 0.668081
3.338137 0.657449
3.359521 0.657449
3.293291 0.659491
2.930841 0.663435
3.031339 0.656947
2.938134 0.660403
2.843420 0.670664
2.825455 0.673002
2.866451 0.670664
2.808536 0.680768
2.800666 0.680768
2.809550 0.680768
2.705522 0.690160
2.711852 0.687291
2.722851 0.687291
2.886559 0.667141
1.441383 0.556760
1.525538 0.570832
1.973613 0.640991
1.615702 0.588644
2.058619 0.647777
2.178937 0.671898
2.101064 0.653124
2.137490 0.657971
2.258052 0.674614
2.171164 0.670542
2.223406 0.675199
2.242427 0.676235
2.501760 0.678357
2.520855 0.673405
2.590983 0.666187
2.834171 0.670664
2.879952 0.670664
2.864505 0.670664
2.884431 0.667141
3.006244 0.660403
3.038224 0.656947
2.989512 0.660403
3.037048 0.656947
3.016401 0.656947
3.100656 0.656938
3.022038 0.656947
3.060005 0.656947
2.979313 0.660403
2.674020 0.688614
2.643102 0.678661
2.676040 0.688614
2.681371 0.688614
2.640327 0.678661
2.545517 0.673405
2.517170 0.673405
2.572844 0.668531
2.533253 0.673405
2.507961 0.674891
2.470865 0.672092
2.571505 0.668531
2.565638 0.670166
2.413448 0.673111
2.499047 0.678357
2.586757 0.666187
2.580803 0.668531
2.591818 0.666187
2.642552 0.678661
2.832414 0.670664
2.766490 0.682731
2.954488 0.660403
3.120031 0.656938
3.327089 0.659797
3.339443 0.657449
3.380856 0.657449
3.376212 0.657449
3.290456 0.659491
3.254872 0.661563
3.425691 0.668081
3.335327 0.657449
3.022063 0.656947
2.865746 0.670664
2.770993 0.682731
2.727390 0.682731
2.675272 0.688614
2.719904 0.687291
2.739583 0.682731
2.736279 0.682731
2.729871 0.682731
2.496700 0.671894
2.492755 0.671894
2.492434 0.672827
2.407712 0.673111
2.321214 0.671329
2.237500 0.675948
2.228755 0.675948
2.267956 0.672920
0.546265 0.387724
2.268594 0.672920
2.216422 0.674822
2.761559 0.682731
2.776091 0.682731
0.598257 0.395125
0.480961 0.380916
2.906422 0.667141
2.851065 0.670664
2.800754 0.680768
2.868424 0.670664
2.840644 0.670664
2.842514 0.670664
2.846037 0.670664
2.810345 0.680768
2.801501 0.680768
2.804726 0.680768
2.813990 0.678536
2.768208 0.682731
2.770317 0.682731
2.757863 0.682731
2.690371 0.690160
2.697991 0.690160
2.515683 0.673405
2.536471 0.673405
2.506066 0.676404
2.488833 0.672827
2.508734 0.674891
2.421470 0.674887
2.446903 0.672737
2.455941 0.673490
