distance_threshold beta score n_results
0.670944 0.929355 0.411904 7
3.435812 0.661152 0.669096 1
3.562979 0.191095 0.647724 4
0.367126 0.401660 0.401092 2
0.930003 0.587939 0.510919 4
0.180576 0.537105 0.368271 6
2.516204 0.838125 0.705300 5
1.353366 0.745710 0.584116 5
2.779795 0.864961 0.703695 5
3.362858 0.844154 0.671364 4
2.599258 0.866452 0.701289 1
1.538528 0.597824 0.625075 1
3.854981 0.484405 0.686110 4
2.025937 0.621116 0.695374 2
0.401115 0.549076 0.395624 3
1.271917 0.053849 0.579909 3
3.418248 0.009414 0.647450 3
3.469990 0.795789 0.659033 6
2.262644 0.527240 0.693704 2
0.289374 0.134002 0.404854 1
3.398547 0.719109 0.728950 7
3.602843 0.965517 0.651628 7
2.842720 0.656791 0.706872 6
2.428685 0.684689 0.705708 7
3.412116 0.907410 0.685601 7
3.385902 0.869470 0.689363 7
3.085347 0.648405 0.733169 7
2.426343 0.889722 0.705431 7
2.749890 0.613172 0.709418 7
2.257601 0.494156 0.706821 7
2.156092 0.552837 0.700052 7
2.535152 0.563345 0.713561 6
2.548487 0.568670 0.707231 7
2.655121 0.535335 0.737672 6
3.388256 0.360789 0.705234 7
3.154514 0.478270 0.704975 6
3.462680 0.394480 0.692777 7
3.111520 0.556453 0.719447 7
3.661420 0.419783 0.671810 6
3.578370 0.506674 0.693637 7
3.492325 0.539306 0.717239 7
2.432322 0.296319 0.688835 5
0.433913 0.960367 0.378071 2
3.894176 0.639246 0.675734 7
2.248032 0.261437 0.685593 5
1.255237 0.999163 0.519113 2
2.576343 0.058264 0.690010 6
3.323656 0.667109 0.724170 7
2.865594 0.592512 0.697828 5
3.238018 0.657507 0.722547 7
3.853708 0.687419 0.676229 6
3.814202 0.697108 0.687275 7
3.061171 0.624526 0.697904 6
3.536056 0.700780 0.676405 7
3.404677 0.720988 0.718769 7
3.204219 0.666227 0.713837 6
3.357466 0.708852 0.715430 7
3.023449 0.783994 0.715277 7
3.236833 0.699351 0.685364 7
3.447322 0.624584 0.690160 7
0.751683 0.970032 0.421292 5
2.964610 0.719347 0.708946 7
2.792684 0.710052 0.717278 7
2.756306 0.693790 0.689540 7
2.889188 0.633085 0.695899 7
3.054406 0.568315 0.692569 7
3.225589 0.515852 0.685351 7
2.969156 0.686603 0.692545 7
0.598959 0.880403 0.403495 7
0.108708 0.195609 0.371276 5
2.932093 0.511952 0.701904 7
3.771815 0.741185 0.700994 2
3.607854 0.734560 0.679803 5
2.861985 0.441377 0.731018 7
3.102209 0.843400 0.693462 6
3.956763 0.800094 0.643247 6
1.070524 0.295702 0.561608 5
2.782215 0.021885 0.684181 1
2.167179 0.253517 0.687865 7
1.903973 0.432255 0.697563 6
1.223187 0.117253 0.599374 6
2.313730 0.284132 0.684423 7
2.725816 0.440221 0.724376 6
2.268912 0.387286 0.699945 7
2.074362 0.655118 0.688310 5
2.432712 0.458394 0.682129 6
2.285609 0.642104 0.697346 6
2.453964 0.731520 0.711007 6
1.732057 0.740202 0.644807 6
2.672490 0.381445 0.734180 7
2.925114 0.405429 0.693172 6
3.112809 0.468692 0.682885 5
2.891478 0.460292 0.718139 5
2.876034 0.346645 0.714393 6
3.533888 0.303052 0.665235 2
2.513979 0.493707 0.708992 5
2.717554 0.378767 0.703319 6
2.833438 0.216642 0.693730 6
3.048712 0.363362 0.686045 4
2.901253 0.499633 0.701350 7
3.150241 0.288873 0.667005 7
2.998725 0.366596 0.693259 7
2.530293 0.351998 0.690495 7
2.825196 0.361415 0.721725 7
3.841073 0.134139 0.672701 5
3.010253 0.332193 0.675407 7
2.823351 0.314344 0.701922 7
2.654350 0.421358 0.736025 7
3.423992 0.600398 0.716226 6
0.128575 0.677998 0.363247 1
3.651493 0.563239 0.674242 7
3.376568 0.577402 0.685225 6
3.616174 0.730182 0.711493 7
3.034233 0.608786 0.728034 7
3.206685 0.557719 0.688857 7
3.339442 0.516981 0.665714 7
2.637160 0.416079 0.739906 7
2.375332 0.445761 0.707188 7
1.263793 0.380756 0.577803 2
2.493062 0.535537 0.699157 6
2.480805 0.517686 0.708483 7
2.372468 0.960037 0.668304 3
2.643288 0.568812 0.709860 7
1.818172 0.227390 0.634904 1
2.126382 0.611482 0.693786 7
2.309551 0.498922 0.710455 7
1.623788 0.478907 0.668285 7
2.578312 0.411756 0.722839 7
3.048971 0.525672 0.723639 7
2.859116 0.553696 0.703318 7
2.811213 0.417925 0.725437 7
3.040445 0.423302 0.674411 7
2.741706 0.469587 0.720569 7
2.544118 0.372464 0.705301 7
2.422926 0.383216 0.716807 7
2.645739 0.464980 0.727965 7
2.608692 0.417796 0.716952 6
2.414901 0.443374 0.719699 7
2.410701 0.364421 0.684262 6
2.593778 0.444718 0.738169 6
2.041604 0.355432 0.680444 6
2.867750 0.499319 0.707215 6
2.930631 0.560531 0.710022 7
2.968302 0.786755 0.689663 7
0.389293 0.032545 0.428223 3
2.721265 0.481227 0.733267 6
2.889471 0.450932 0.714283 7
2.833916 0.502430 0.715408 6
2.979101 0.490538 0.698274 6
2.896693 0.547659 0.711712 6
3.173285 0.449151 0.696020 6
3.776062 0.271926 0.663004 7
2.890871 0.612108 0.699493 6
2.914642 0.705106 0.704289 5
2.619571 0.570249 0.690317 6
3.645727 0.275588 0.688562 6
2.535579 0.396293 0.720159 5
3.028392 0.327693 0.682794 6
2.484573 0.478315 0.694152 6
2.330921 0.461888 0.698999 5
2.775637 0.356183 0.723822 7
2.030320 0.476180 0.682961 5
2.892095 0.131124 0.685989 7
2.356441 0.213242 0.675792 7
2.471904 0.248034 0.687988 7
2.587342 0.416997 0.730249 7
1.804157 0.461242 0.683075 5
2.680099 0.357722 0.732064 7
2.650192 0.449122 0.725009 7
2.674460 0.393668 0.736230 7
2.984377 0.354505 0.700082 7
3.102319 0.429237 0.685273 7
2.937233 0.325205 0.684856 7
3.097697 0.448596 0.712516 7
3.069540 0.431195 0.683515 7
2.349930 0.360655 0.691537 7
2.155122 0.491063 0.700042 7
2.813604 0.314951 0.712052 7
1.883345 0.366228 0.693494 7
2.295743 0.412375 0.695662 6
1.767130 0.403474 0.699525 7
2.249517 0.429706 0.697336 6
2.151209 0.423436 0.692364 7
2.253838 0.586545 0.695406 7
2.347300 0.406888 0.688579 7
2.171451 0.551786 0.702272 7
2.300315 0.521262 0.711266 7
2.342947 0.564530 0.717545 7
2.597034 0.378739 0.742142 7
2.569621 0.375818 0.728012 7
2.789405 0.487912 0.718588 7
2.695627 0.438644 0.713026 7
2.617017 0.389741 0.740805 7
3.442564 0.751138 0.679568 7
2.880679 0.686578 0.700520 7
2.711374 0.288503 0.709042 7
2.663781 0.387760 0.728508 7
2.680398 0.305341 0.706092 7
2.698913 0.382099 0.733343 7
2.773207 0.350930 0.712097 6
