x y fail
0.429098 0.105769 0
-0.154221 -0.204956 1
-0.377440 0.125047 0
0.311151 0.027384 0
0.200149 -0.111785 0
-0.191860 0.054891 0
-0.318239 0.028080 0
-0.290891 0.113566 0
0.378320 0.058517 0
0.392295 0.002042 0
0.162775 -0.024405 0
-0.334679 0.275959 1
-0.250892 -0.054016 0
-0.397769 0.299009 1
0.451433 0.063120 0
0.287044 -0.011904 0
-0.192066 -0.064773 0
-0.198763 -0.203829 0
-0.253345 0.382078 1
-0.241280 0.149253 0
-0.322661 0.117355 0
-0.219034 -0.233049 0
0.273657 -0.004009 0
-0.155795 0.053274 0
0.389564 0.078694 0
0.278932 0.059675 0
-0.127556 -0.282287 1
-0.259616 -0.265260 0
-0.090130 0.092882 0
-0.224394 -0.257756 0
0.250344 0.056189 0
-0.120211 -0.007055 0
-0.269552 0.130736 0
-0.183706 -0.242325 0
0.154574 -0.012220 0
-0.143235 -0.262375 0
0.409296 0.066774 0
0.485497 0.093189 0
0.249025 -0.022269 0
-0.246654 -0.400486 0
-0.261362 -0.303444 0
0.265057 0.012441 0
0.360142 -0.007002 0
-0.433827 0.145324 1
0.400832 0.029610 0
0.391085 0.060228 0
-0.055310 -0.111956 1
-0.286978 0.068611 0
0.507180 0.139454 0
0.428482 0.030601 0
-0.322242 0.172558 0
-0.411469 0.242487 1
-0.222979 0.072219 0
-0.101601 -0.241411 0
0.386959 0.003032 0
-0.376324 0.128593 0
0.002256 0.143705 1
0.361307 0.031983 0
-0.101747 -0.263701 0
-0.078579 -0.283711 0
-0.146512 -0.316780 0
-0.045771 -0.232362 0
0.160216 -0.054069 0
-0.258552 -0.317664 0
0.349994 0.045787 0
-0.231894 0.062294 1
-0.077341 0.034822 0
-0.272432 0.232421 1
0.404800 0.076319 0
0.349148 0.020853 0
0.310420 -0.006449 0
0.353159 0.048571 0
-0.182925 -0.305594 0
-0.173885 0.084064 0
0.291647 -0.000659 0
-0.376917 0.030569 1
0.317373 0.009759 0
-0.276037 0.107204 0
-0.238556 0.245948 0
0.248666 -0.113959 0
0.356662 0.150952 0
-0.200940 -0.230586 0
-0.131836 -0.332993 0
-0.038265 0.006815 1
-0.318283 0.393679 1
0.366592 0.057551 0
-0.402935 0.235345 0
-0.312958 0.151132 0
0.253181 0.009185 0
-0.345180 0.170489 1
-0.231390 -0.224612 0
0.233571 -0.039264 0
-0.235962 -0.028801 1
0.100811 -0.176102 0
0.353143 0.073371 0
-0.244144 0.047624 0
-0.233607 -0.427145 0
-0.013862 -0.202253 1
-0.427954 0.243259 0
-0.192538 -0.221963 0
0.264048 -0.029970 0
-0.208962 0.004336 1
-0.273692 0.085226 0
0.408564 0.010357 0
0.192180 -0.013929 0
-0.283705 0.187856 0
-0.128353 -0.176551 1
0.401532 0.058208 0
-0.108621 -0.249157 1
-0.374797 0.195012 1
-0.236344 0.172883 0
-0.180952 -0.210949 0
0.199995 -0.089027 0
-0.238261 0.189273 1
-0.150158 -0.320384 0
-0.316457 0.169397 0
-0.161215 -0.266075 0
0.214174 -0.071091 0
-0.036132 -0.176846 0
0.137414 -0.068658 0
0.309228 0.043003 0
-0.348563 0.074102 0
-0.000220 0.008327 0
-0.138307 -0.317430 0
0.112513 -0.127819 0
-0.165477 -0.313472 0
0.308668 0.042214 0
-0.139395 -0.230085 0
0.261364 -0.000978 0
-0.380434 0.361224 1
-0.223495 0.234445 1
0.296375 -0.036710 0
0.342912 0.133138 0
-0.082190 0.174982 0
0.168408 -0.097149 0
0.369415 -0.003425 0
-0.160862 -0.306340 0
-0.145330 -0.286861 0
0.324393 0.011373 0
-0.236198 -0.046073 0
-0.099487 -0.235194 0
-0.254103 -0.406309 0
0.367935 0.060976 0
-0.353421 0.100452 0
-0.044812 0.292400 1
-0.273626 -0.232851 0
-0.369606 0.355233 1
0.338232 0.023369 0
-0.170765 -0.299458 0
0.305676 -0.015458 0
-0.277069 0.102730 0
0.293437 -0.067543 0
-0.236701 -0.112344 1
0.226342 -0.005363 0
-0.143071 -0.264454 0
-0.002391 -0.045021 1
-0.264058 0.055222 0
-0.329106 0.366763 1
-0.224763 -0.231679 0
0.346167 -0.046421 0
0.244764 0.011527 0
0.408524 0.127910 0
0.349587 0.041633 0
0.359404 0.014481 0
0.326868 0.055437 0
-0.233369 0.169546 0
-0.368894 0.198513 1
-0.019153 0.059982 0
-0.105558 -0.257836 0
-0.346178 0.377922 1
-0.169586 -0.319889 0
-0.413896 0.238352 0
-0.135960 -0.290836 0
0.418262 0.008476 0
0.423516 0.110151 0
0.422985 0.080006 0
-0.365212 0.154955 0
-0.229810 -0.224841 0
-0.267548 -0.254238 0
-0.120709 -0.200718 0
-0.060972 -0.140102 1
0.470619 0.171771 0
-0.372728 -0.046855 0
0.479265 0.122895 0
0.385077 0.039120 0
-0.202799 -0.307244 0
-0.032595 -0.147731 0
-0.226355 0.069943 0
-0.182005 -0.110261 0
-0.268263 0.060264 0
-0.274276 0.349937 1
0.085841 0.142391 0
0.206696 -0.031957 0
-0.191569 -0.269317 1
-0.144951 -0.188886 0
0.369335 0.015082 0
-0.354823 0.161516 0
-0.369045 0.276730 1
-0.016438 0.069885 0
-0.219073 -0.260614 0
0.373918 -0.033068 0
-0.307765 0.049504 0
0.280149 -0.011096 0
-0.217023 -0.228139 0
-0.094053 0.189377 0
0.267321 -0.110064 0
-0.117247 -0.267359 0
-0.122561 -0.214013 0
-0.289355 0.066428 0
-0.322919 0.134810 0
0.380763 0.031481 0
0.287704 0.018605 0
0.319612 0.031387 0
-0.232079 0.310677 1
-0.124939 -0.234071 0
0.403151 0.068566 0
0.367616 0.064030 0
0.430319 0.093432 0
