x y z label
0.429098 0.105769 0.157210 2
-0.154221 -0.204956 -0.123348 0
-0.377440 0.125047 -0.108571 0
0.311151 0.027385 -0.040900 2
0.200149 -0.111784 -0.123189 2
-0.191860 0.054892 -0.288551 0
-0.318239 0.028080 -0.139816 0
-0.290891 0.113566 -0.132758 0
0.378320 0.058517 -0.026542 2
0.392295 0.002042 0.013879 2
0.162775 -0.024406 -0.133303 2
-0.334679 0.275960 0.268663 3
-0.250892 -0.054014 -0.022368 0
-0.397769 0.299009 0.061448 3
0.451433 0.063120 0.052502 2
0.287044 -0.011903 -0.105656 2
-0.192066 -0.064773 0.213941 1
-0.198763 -0.203830 0.086350 1
-0.253345 0.382079 0.110807 3
-0.241280 0.149253 -0.256816 0
-0.322661 0.117354 -0.056836 0
-0.219034 -0.233051 0.057079 1
0.273657 -0.004010 -0.153933 2
-0.155795 0.053273 -0.190914 0
0.389564 0.078694 0.030398 2
0.278932 0.059676 0.038804 2
-0.127556 -0.282287 -0.039071 0
-0.259616 -0.265260 0.075830 1
-0.090130 0.092881 -0.364133 0
-0.224394 -0.257756 0.041005 1
0.250344 0.056187 -0.050196 2
-0.120211 -0.007054 -0.196889 0
-0.269552 0.130736 -0.140434 0
-0.183706 -0.242325 0.072932 1
0.154574 -0.012221 -0.052519 2
-0.143235 -0.262374 -0.060550 1
0.409296 0.066774 0.070940 2
0.485497 0.093188 0.225970 2
0.249025 -0.022268 -0.113520 2
-0.246654 -0.400486 0.038588 1
-0.261362 -0.303444 0.094964 1
0.265057 0.012441 -0.032494 2
0.360142 -0.007002 -0.058833 2
-0.433827 0.145324 0.027356 3
0.400832 0.029610 0.061921 2
0.391085 0.060227 0.033494 2
-0.055310 -0.111956 0.048889 0
-0.286978 0.068611 -0.162899 0
0.507180 0.139454 0.231922 2
0.428482 0.030601 0.123032 2
-0.322242 0.172557 -0.184511 0
-0.411469 0.242488 0.235283 3
-0.222979 0.072218 -0.361364 0
-0.101601 -0.241411 0.047329 1
0.386959 0.003032 -0.163341 2
-0.376324 0.128593 -0.089149 0
0.002256 0.143704 -0.204995 2
0.361307 0.031983 0.004750 2
-0.101747 -0.263701 0.035603 1
-0.078579 -0.283711 0.035432 1
-0.146512 -0.316779 0.047780 1
-0.045771 -0.232361 0.030905 1
0.160216 -0.054069 -0.097595 2
-0.258552 -0.317665 0.124405 1
0.349994 0.045787 -0.039199 2
-0.231894 0.062295 -0.136700 1
-0.077341 0.034821 -0.335084 0
-0.272432 0.232420 0.320129 3
0.404800 0.076319 0.092599 2
0.349148 0.020853 -0.112153 2
0.310420 -0.006449 -0.101352 2
0.353159 0.048571 0.113303 2
-0.182925 -0.305594 0.017270 1
-0.173885 0.084065 -0.320892 0
0.291647 -0.000658 -0.103792 2
-0.376917 0.030570 -0.031514 3
0.317373 0.009758 -0.062514 2
-0.276037 0.107205 -0.001300 0
-0.238556 0.245948 -0.260520 0
0.248666 -0.113958 -0.146938 2
0.356662 0.150952 0.302930 2
-0.200940 -0.230585 -0.038197 1
-0.131836 -0.332992 0.006568 1
-0.038265 0.006815 -0.138405 0
-0.318283 0.393680 0.097391 3
0.366592 0.057550 -0.067088 2
-0.402935 0.235346 0.120380 0
-0.312958 0.151132 -0.021188 0
0.253181 0.009186 -0.035348 2
-0.345180 0.170488 0.051930 3
-0.231390 -0.224613 0.168102 1
0.233571 -0.039264 -0.106597 2
-0.235962 -0.028801 -0.115716 0
0.100811 -0.176102 -0.196694 2
0.353143 0.073371 -0.035798 2
-0.244144 0.047624 -0.306848 0
-0.233607 -0.427145 0.047459 1
-0.013862 -0.202253 0.055658 0
-0.427954 0.243259 -0.019181 0
-0.192538 -0.221962 -0.044217 1
0.264048 -0.029969 -0.152062 2
-0.208962 0.004334 -0.124413 0
-0.273692 0.085227 -0.067459 0
0.408564 0.010357 0.054019 2
0.192180 -0.013930 -0.104142 2
-0.283705 0.187856 -0.119287 0
-0.128353 -0.176550 -0.098892 0
0.401532 0.058208 0.021713 2
-0.108621 -0.249157 0.004734 0
-0.374797 0.195012 0.081307 3
-0.236344 0.172882 -0.259033 0
-0.180952 -0.210948 0.020797 1
0.199995 -0.089027 -0.189331 2
-0.238261 0.189275 0.031502 3
-0.150158 -0.320384 0.050290 1
-0.316457 0.169398 -0.162874 0
-0.161215 -0.266075 0.022090 1
0.214174 -0.071091 -0.170050 2
-0.036132 -0.176846 0.209222 1
0.137414 -0.068658 -0.090223 2
0.309228 0.043003 -0.093604 2
-0.348563 0.074102 0.113781 0
-0.000220 0.008327 0.023869 0
-0.138307 -0.317431 0.044641 1
0.112513 -0.127820 -0.077685 2
-0.165477 -0.313472 -0.008205 1
0.308668 0.042215 0.047075 2
-0.139395 -0.230085 0.273832 1
0.261364 -0.000979 -0.028183 2
-0.380434 0.361224 0.323218 3
-0.223495 0.234447 0.168440 3
0.296375 -0.036710 -0.077992 2
0.342912 0.133139 0.185265 2
-0.082190 0.174982 0.087264 0
0.168408 -0.097148 -0.222732 2
0.369415 -0.003425 -0.013600 2
-0.160862 -0.306340 -0.038574 1
-0.145330 -0.286861 0.051453 1
0.324393 0.011373 -0.055527 2
-0.236198 -0.046071 -0.019522 0
-0.099487 -0.235195 0.205285 1
-0.254103 -0.406309 0.047862 1
0.367935 0.060976 0.022768 2
-0.353421 0.100452 -0.146288 0
-0.044812 0.292400 -0.093771 3
-0.273626 -0.232851 0.154322 1
-0.369606 0.355234 0.306007 3
0.338232 0.023369 -0.130302 2
-0.170765 -0.299458 0.043654 1
0.305676 -0.015458 -0.097564 2
-0.277069 0.102728 -0.214673 0
0.293437 -0.067543 -0.103618 2
-0.236701 -0.112344 0.096018 0
0.226342 -0.005364 -0.102878 2
-0.143071 -0.264454 0.028829 1
-0.002391 -0.045020 0.056327 0
-0.264058 0.055223 -0.139449 0
-0.329106 0.366763 0.081535 3
-0.224763 -0.231680 0.172654 1
0.346167 -0.046420 -0.211240 2
0.244764 0.011527 0.003867 2
0.408524 0.127910 0.119538 2
0.349587 0.041632 -0.014563 2
0.359404 0.014481 -0.078145 2
0.326868 0.055437 -0.053249 2
-0.233369 0.169545 -0.253249 0
-0.368894 0.198512 -0.013739 3
-0.019153 0.059981 -0.052774 0
-0.105558 -0.257835 -0.066269 1
-0.346178 0.377923 0.279245 3
-0.169586 -0.319888 -0.018769 1
-0.413896 0.238352 0.056527 0
-0.135960 -0.290835 -0.003656 1
0.418262 0.008477 -0.038439 2
0.423516 0.110151 0.130842 2
0.422985 0.080005 0.196376 2
-0.365212 0.154954 -0.165886 0
-0.229810 -0.224842 0.166932 1
-0.267548 -0.254239 0.096914 1
-0.120709 -0.200718 0.193467 1
-0.060972 -0.140102 0.104492 0
0.470619 0.171770 0.219336 2
-0.372728 -0.046855 0.048710 0
0.479265 0.122895 0.160170 2
0.385077 0.039120 -0.010305 2
-0.202799 -0.307243 -0.015096 1
-0.032595 -0.147730 0.201912 1
-0.226355 0.069942 -0.356986 0
-0.182005 -0.110260 0.075531 1
-0.268263 0.060264 -0.147798 0
-0.274276 0.349936 0.112777 3
0.085841 0.142391 0.006483 0
0.206696 -0.031958 -0.140147 2
-0.191569 -0.269317 0.051555 0
-0.144951 -0.188886 0.223326 1
0.369335 0.015082 -0.065158 2
-0.354823 0.161515 -0.113987 0
-0.369045 0.276730 0.089920 3
-0.016438 0.069884 -0.193454 0
-0.219073 -0.260614 0.035800 1
0.373918 -0.033068 -0.163668 2
-0.307765 0.049505 0.156607 0
0.280149 -0.011096 -0.170998 2
-0.217023 -0.228140 0.174697 1
-0.094053 0.189376 -0.389866 0
0.267321 -0.110064 -0.106788 2
-0.117247 -0.267359 0.145607 1
-0.122561 -0.214012 0.182625 1
-0.289355 0.066427 -0.237843 0
-0.322919 0.134809 -0.014382 0
0.380763 0.031480 0.012399 2
0.287704 0.018605 0.065927 2
0.319612 0.031389 0.029875 2
-0.232079 0.310679 0.167710 3
-0.124939 -0.234070 0.026871 1
0.403151 0.068566 0.085381 2
0.367616 0.064030 0.033288 2
0.430319 0.093433 0.155794 2
0.401096 0.005912 0.025481 2
-0.159054 0.108065 -0.118551 0
-0.283281 0.102790 0.098226 0
0.399575 0.047756 0.075800 2
-0.126548 -0.299514 0.117121 1
0.280174 -0.004057 -0.084118 2
0.348278 0.033137 -0.000437 2
0.357446 0.065768 0.135124 2
0.236846 -0.086957 0.018040 0
-0.144883 0.130174 -0.260738 0
-0.069017 -0.139044 -0.011622 0
0.254768 -0.013504 0.084074 2
-0.258709 0.236037 0.356695 3
0.273232 -0.033460 -0.046364 2
-0.263912 -0.076433 0.067320 0
-0.134864 -0.281220 0.186021 1
-0.257521 -0.402525 0.026152 1
-0.213087 0.149943 -0.080516 0
-0.391913 0.221492 0.026855 3
0.221681 0.007007 -0.134124 2
-0.371877 0.058574 0.088037 0
-0.331563 0.112236 -0.184625 0
-0.098876 -0.320119 0.161011 1
-0.196192 -0.192604 -0.010777 0
0.413915 0.041738 0.065927 2
-0.382121 0.359828 0.331015 3
0.253864 0.036659 -0.039546 2
0.395368 -0.030961 -0.212079 2
0.233698 -0.077188 -0.164495 2
0.417369 0.057315 0.058529 2
-0.376697 0.334064 0.119127 3
-0.230157 -0.243211 0.121579 1
-0.183880 0.083220 -0.235546 0
0.349823 0.047172 -0.035886 2
0.347895 0.053352 -0.014354 2
-0.211354 0.089507 -0.099541 0
-0.312300 0.206334 -0.079959 0
-0.335924 -0.038044 0.038729 0
0.448952 0.111489 0.139177 2
0.379970 0.009028 -0.068819 2
0.319677 -0.019530 -0.134433 2
-0.235069 0.164938 -0.045401 3
0.369859 0.078942 -0.047339 2
-0.203981 0.103625 -0.155187 0
-0.234291 0.257240 0.376419 3
0.311007 -0.011180 0.009317 2
0.394463 0.091721 -0.076443 2
-0.326989 -0.041513 0.041912 0
-0.370912 0.166064 0.062119 3
-0.173719 -0.296553 0.163593 1
0.432802 0.065478 0.049683 2
-0.034097 -0.046919 0.083230 0
-0.411436 0.261115 0.068882 3
-0.263341 0.107127 0.034736 0
0.352663 0.057345 0.117958 2
0.394120 -0.017628 -0.028863 2
-0.054045 -0.266904 0.210596 1
-0.349588 0.164956 -0.082154 0
-0.375016 0.297170 0.056498 3
-0.238362 0.176800 -0.103711 0
-0.188304 -0.138651 0.361968 1
-0.410102 0.358103 0.140922 3
0.088022 -0.139443 -0.268972 2
-0.419723 0.076026 -0.038382 3
-0.178451 -0.168258 0.077950 1
0.360173 0.030963 -0.077712 2
-0.286854 0.364125 0.081649 3
-0.378532 0.025657 -0.163911 0
-0.073793 -0.211119 0.251241 1
-0.263535 0.339358 0.113450 3
0.283137 -0.027222 -0.026397 2
-0.192569 -0.385448 0.060107 1
0.469180 0.091483 0.116333 2
-0.336286 0.095509 -0.170185 0
-0.060082 -0.091894 0.091400 0
0.459868 0.178123 0.208976 2
0.485373 0.133370 0.223424 2
-0.007243 -0.052307 -0.162819 1
-0.338458 0.328692 0.254442 3
-0.194722 0.122787 -0.162668 0
-0.307948 0.169167 -0.145191 0
-0.062425 -0.304735 0.089557 1
0.381410 -0.038685 -0.039640 2
-0.307842 0.066654 0.153772 0
-0.183247 -0.323489 -0.019127 1
0.483228 0.110220 0.222945 2
0.290951 0.038710 -0.014306 2
0.213088 -0.009710 -0.162080 2
-0.216695 -0.307030 -0.033036 1
-0.213005 0.267389 0.374925 3
0.195218 -0.053937 -0.152801 2
0.234453 -0.087399 -0.210233 2
0.321193 0.094050 0.050275 2
-0.371520 0.162537 -0.120783 3
-0.287364 0.107259 -0.201746 0
-0.168534 -0.305713 0.004368 1
0.276860 -0.014179 -0.000750 2
-0.266751 0.141492 -0.152462 0
0.288804 -0.005378 -0.056476 2
0.332790 0.024704 -0.026577 2
-0.222263 -0.224524 0.174205 1
-0.237011 0.045756 -0.222982 0
-0.227293 -0.382444 0.029656 1
-0.221440 -0.199467 0.195903 1
-0.395940 0.201146 -0.068219 0
-0.316765 0.037732 -0.062041 0
-0.237541 -0.251200 0.138494 1
0.264952 -0.011170 0.003407 2
0.069027 -0.126689 -0.242819 2
-0.395865 0.344241 0.301565 3
0.150295 -0.182718 -0.185446 2
0.317187 0.037288 -0.081068 2
0.407880 0.051548 -0.015880 2
-0.077757 0.134203 -0.239566 0
-0.219935 -0.231234 0.058780 1
0.468393 0.106391 0.231414 2
0.342712 0.021296 0.044022 2
0.435058 0.070395 -0.020767 2
-0.182166 -0.277993 0.036167 1
0.428827 0.038013 0.022747 2
0.455902 0.117510 0.227610 2
-0.305439 0.150514 -0.181111 0
-0.223861 -0.231082 0.170907 1
0.348961 -0.042039 -0.111001 2
0.482391 0.201735 0.243231 2
0.017890 0.067128 -0.137386 0
0.319241 0.071816 0.016871 2
0.313352 0.074011 0.198785 2
0.282111 0.009952 -0.084327 2
-0.415294 0.038075 -0.040142 3
-0.274630 0.126208 -0.144712 0
0.421314 0.187113 0.228765 2
0.435392 0.058773 0.043541 2
0.431652 0.157323 0.176871 2
0.328723 0.094449 0.081940 2
